"RelativePath","Length","LastWriteTime","FullName"
".gitignore","417","2026-04-05T18:43:32.0000000Z","C:\Users\andre\Desktop\EURO MAIN\.gitignore"
"# 📑 MASTER TRADING PROTOCOL (MTP).md","1518","2026-04-16T20:57:07.3313580Z","C:\Users\andre\Desktop\EURO MAIN\# 📑 MASTER TRADING PROTOCOL (MTP).md"
"CLAUDE.md","16199","2026-04-15T07:31:20.7072062Z","C:\Users\andre\Desktop\EURO MAIN\CLAUDE.md"
"euro os stuff.pdf","1059520","2026-04-11T11:41:54.1606718Z","C:\Users\andre\Desktop\EURO MAIN\euro os stuff.pdf"
"Euro OS TOS Improvements.zip","12537","2026-04-11T11:49:18.5661046Z","C:\Users\andre\Desktop\EURO MAIN\Euro OS TOS Improvements.zip"
"Euro OS TOS stuff.zip","16868","2026-04-11T11:42:19.8739751Z","C:\Users\andre\Desktop\EURO MAIN\Euro OS TOS stuff.zip"
"Euro TOS improvements.pdf","1033203","2026-04-11T11:48:46.9320307Z","C:\Users\andre\Desktop\EURO MAIN\Euro TOS improvements.pdf"
"euru_asian_scan.py","21955","2026-04-15T21:55:02.3523875Z","C:\Users\andre\Desktop\EURO MAIN\euru_asian_scan.py"
"euru_breakout_scanner.py","37494","2026-04-15T08:20:57.1811660Z","C:\Users\andre\Desktop\EURO MAIN\euru_breakout_scanner.py"
"euru_daily_audit.py","24680","2026-04-21T05:29:48.7247977Z","C:\Users\andre\Desktop\EURO MAIN\euru_daily_audit.py"
"euru_flow_analyst.py","22642","2026-04-04T20:11:56.0000000Z","C:\Users\andre\Desktop\EURO MAIN\euru_flow_analyst.py"
"euru_friday_cycle.py","35682","2026-04-15T21:51:47.0916357Z","C:\Users\andre\Desktop\EURO MAIN\euru_friday_cycle.py"
"euru_git_sync.py","1211","2026-04-15T21:51:10.7038465Z","C:\Users\andre\Desktop\EURO MAIN\euru_git_sync.py"
"euru_github_sync.ps1","594","2026-04-13T22:14:45.2638833Z","C:\Users\andre\Desktop\EURO MAIN\euru_github_sync.ps1"
"EURU_HANDOFF_FUNDACAO_SOLIDA_2026-04-13.md","8933","2026-04-13T07:16:30.4458562Z","C:\Users\andre\Desktop\EURO MAIN\EURU_HANDOFF_FUNDACAO_SOLIDA_2026-04-13.md"
"euru_journal_auditor.py","12562","2026-04-12T20:13:22.0000000Z","C:\Users\andre\Desktop\EURO MAIN\euru_journal_auditor.py"
"euru_learning_engine.py","35772","2026-04-12T19:07:14.0000000Z","C:\Users\andre\Desktop\EURO MAIN\euru_learning_engine.py"
"euru_learning_preflight.py","7804","2026-04-12T19:07:14.0000000Z","C:\Users\andre\Desktop\EURO MAIN\euru_learning_preflight.py"
"euru_morning_scan.py","28948","2026-04-16T19:31:35.5944319Z","C:\Users\andre\Desktop\EURO MAIN\euru_morning_scan.py"
"euru_schedule_setup.ps1","1580","2026-04-05T18:55:46.0000000Z","C:\Users\andre\Desktop\EURO MAIN\euru_schedule_setup.ps1"
"euru_schema_validator.py","27667","2026-04-17T19:39:48.2636352Z","C:\Users\andre\Desktop\EURO MAIN\euru_schema_validator.py"
"euru_score_engine.py","21644","2026-04-04T20:23:24.0000000Z","C:\Users\andre\Desktop\EURO MAIN\euru_score_engine.py"
"euru_scorecard_engine.py","32828","2026-04-13T04:50:00.0000000Z","C:\Users\andre\Desktop\EURO MAIN\euru_scorecard_engine.py"
"EURU_SESSION_HANDOFF_2026-04-11.md","5979","2026-04-11T12:40:47.7866716Z","C:\Users\andre\Desktop\EURO MAIN\EURU_SESSION_HANDOFF_2026-04-11.md"
"EURU_SESSION_HANDOFF_2026-04-12_v2.md","6135","2026-04-12T22:35:28.9413271Z","C:\Users\andre\Desktop\EURO MAIN\EURU_SESSION_HANDOFF_2026-04-12_v2.md"
"EURU_SETUP_TREND_CONTINUATION_OFFICIAL_v1.0.md","5838","2026-04-12T21:48:25.4650167Z","C:\Users\andre\Desktop\EURO MAIN\EURU_SETUP_TREND_CONTINUATION_OFFICIAL_v1.0.md"
"EURU_SETUP_TREND_CONTINUATION.pdf","1021216","2026-04-12T21:48:02.3724616Z","C:\Users\andre\Desktop\EURO MAIN\EURU_SETUP_TREND_CONTINUATION.pdf"
"EURU_SNAPSHOT_2026-04-25_1.txt","41346","2026-04-25T09:33:25.0477711Z","C:\Users\andre\Desktop\EURO MAIN\EURU_SNAPSHOT_2026-04-25_1.txt"
"euru_threshold_registry.py","19764","2026-04-12T19:07:14.0000000Z","C:\Users\andre\Desktop\EURO MAIN\euru_threshold_registry.py"
"Euru_TOS_ALL_AGENTS_OFFICIAL_2026-04-12.zip","13693952","2026-04-12T22:23:50.4427463Z","C:\Users\andre\Desktop\EURO MAIN\Euru_TOS_ALL_AGENTS_OFFICIAL_2026-04-12.zip"
"Euru_TOS_NORMALIZED_2026-04-11.zip","13606428","2026-04-11T12:20:29.0169101Z","C:\Users\andre\Desktop\EURO MAIN\Euru_TOS_NORMALIZED_2026-04-11.zip"
"Euru_TOS_SCHEMA_MIGRATED_2026-04-12.zip","13673312","2026-04-12T21:27:38.1910499Z","C:\Users\andre\Desktop\EURO MAIN\Euru_TOS_SCHEMA_MIGRATED_2026-04-12.zip"
"Euru_TOS_SCORECARD_ENGINE_2026-04-13.zip","13754882","2026-04-13T06:51:53.2598765Z","C:\Users\andre\Desktop\EURO MAIN\Euru_TOS_SCORECARD_ENGINE_2026-04-13.zip"
"Euru_TOS_WITH_FRIDAY_CYCLE_2026-04-12.zip","13665637","2026-04-12T21:15:33.6180097Z","C:\Users\andre\Desktop\EURO MAIN\Euru_TOS_WITH_FRIDAY_CYCLE_2026-04-12.zip"
"Euru_TOS.zip","27155953","2026-04-11T10:01:34.8774306Z","C:\Users\andre\Desktop\EURO MAIN\Euru_TOS.zip"
"euru_trade_monitor_1.py","22126","2026-04-16T19:18:03.7766697Z","C:\Users\andre\Desktop\EURO MAIN\euru_trade_monitor_1.py"
"euru_trade_monitor.py","22580","2026-04-16T19:30:26.8726295Z","C:\Users\andre\Desktop\EURO MAIN\euru_trade_monitor.py"
"files.zip","12537","2026-04-11T11:49:20.8841542Z","C:\Users\andre\Desktop\EURO MAIN\files.zip"
"master doc 25_04_2026 snapshoot.pdf","3808748","2026-04-25T09:32:16.5007463Z","C:\Users\andre\Desktop\EURO MAIN\master doc 25_04_2026 snapshoot.pdf"
"README.md","1145","2026-04-20T05:19:41.7291626Z","C:\Users\andre\Desktop\EURO MAIN\README.md"
"test_parse.py","750","2026-04-16T19:27:20.0714597Z","C:\Users\andre\Desktop\EURO MAIN\test_parse.py"
".claude\settings.local.json","3811","2026-04-25T09:40:25.0252840Z","C:\Users\andre\Desktop\EURO MAIN\.claude\settings.local.json"
"00_GOVERNANCA\EURU_HANDOFF_FILE_INDEX.md","2033","2026-04-12T19:07:08.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_GOVERNANCA\EURU_HANDOFF_FILE_INDEX.md"
"00_GOVERNANCA\PIPELINES\EURU_FRIDAY_CYCLE.md","8619","2026-04-13T04:50:00.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_GOVERNANCA\PIPELINES\EURU_FRIDAY_CYCLE.md"
"00_GOVERNANCA\SCHEMAS\EURU_SCHEMA_GOVERNANCE_THRESHOLDS.md","9374","2026-04-12T19:07:08.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_GOVERNANCA\SCHEMAS\EURU_SCHEMA_GOVERNANCE_THRESHOLDS.md"
"00_GOVERNANCA\SCHEMAS\EURU_SCHEMA_LEARNING_REPORT_AND_SCORECARD.md","10325","2026-04-12T19:07:08.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_GOVERNANCA\SCHEMAS\EURU_SCHEMA_LEARNING_REPORT_AND_SCORECARD.md"
"00_GOVERNANCA\SCHEMAS\EURU_SCHEMA_TRADE_AND_JOURNAL.md","10324","2026-04-12T19:07:08.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_GOVERNANCA\SCHEMAS\EURU_SCHEMA_TRADE_AND_JOURNAL.md"
"00_GOVERNANCA\SCHEMAS\EURU_SETUP_TREND_CONTINUATION_OFFICIAL_v1.0.md","5838","2026-04-12T19:44:58.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_GOVERNANCA\SCHEMAS\EURU_SETUP_TREND_CONTINUATION_OFFICIAL_v1.0.md"
