"Status","RelativePath","EuroLength","EuruLength","EuroLastWriteUtc","EuruLastWriteUtc"
"SIZE_DIFF","__pycache__\euru_asian_scan.cpython-314.pyc","21663","26863","2026-04-04T03:24:50.0000000Z","2026-04-25T10:21:11.7623485Z"
"SOURCE_ONLY","__pycache__\euru_breakout_scanner.cpython-314.pyc","45395","","2026-04-15T08:26:42.7661079Z",""
"SOURCE_ONLY","__pycache__\euru_flow_analyst.cpython-314.pyc","29571","","2026-04-14T05:00:02.3371787Z",""
"SIZE_DIFF","__pycache__\euru_git_sync.cpython-314.pyc","2047","3013","2026-04-16T00:00:15.3161681Z","2026-04-25T10:21:11.7461700Z"
"SOURCE_ONLY","__pycache__\euru_learning_engine.cpython-312.pyc","50659","","2026-04-13T04:50:04.0000000Z",""
"SIZE_DIFF","__pycache__\euru_learning_engine.cpython-314.pyc","58124","58128","2026-04-17T18:30:02.0022361Z","2026-04-25T10:19:18.5439775Z"
"SOURCE_ONLY","__pycache__\euru_learning_preflight.cpython-312.pyc","10256","","2026-04-13T04:50:04.0000000Z",""
"SIZE_DIFF","__pycache__\euru_learning_preflight.cpython-314.pyc","11386","11390","2026-04-17T18:30:01.9781848Z","2026-04-25T10:19:18.5358080Z"
"SIZE_DIFF","__pycache__\euru_morning_scan.cpython-314.pyc","34589","36456","2026-04-15T07:58:06.0520468Z","2026-04-25T10:21:11.7571787Z"
"SOURCE_ONLY","__pycache__\euru_schema_validator.cpython-312.pyc","30884","","2026-04-13T04:50:04.0000000Z",""
"SIZE_DIFF","__pycache__\euru_schema_validator.cpython-314.pyc","37575","37579","2026-04-17T19:41:26.9306395Z","2026-04-25T10:19:18.5317759Z"
"SOURCE_ONLY","__pycache__\euru_score_engine.cpython-314.pyc","29038","","2026-04-14T05:00:02.3558045Z",""
"DEST_ONLY","__pycache__\euru_trade_metrics_calculator.cpython-314.pyc","","20593","","2026-04-25T10:30:22.9991019Z"
"SIZE_DIFF","__pycache__\euru_trade_monitor.cpython-314.pyc","26447","26499","2026-04-16T19:32:57.8078974Z","2026-04-25T10:21:11.7694742Z"
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\.gitignore","68","","2026-04-25T10:08:03.5271186Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_GOVERNANCA\EURU_HANDOFF_FILE_INDEX.md","2033","","2026-04-12T19:07:08.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_GOVERNANCA\PIPELINES\EURU_FRIDAY_CYCLE.md","8619","","2026-04-13T04:50:00.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_GOVERNANCA\SCHEMAS\EURU_SCHEMA_GOVERNANCE_THRESHOLDS.md","9374","","2026-04-12T19:07:08.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_GOVERNANCA\SCHEMAS\EURU_SCHEMA_LEARNING_REPORT_AND_SCORECARD.md","10325","","2026-04-12T19:07:08.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_GOVERNANCA\SCHEMAS\EURU_SCHEMA_TRADE_AND_JOURNAL.md","10324","","2026-04-12T19:07:08.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_GOVERNANCA\SCHEMAS\EURU_SETUP_TREND_CONTINUATION_OFFICIAL_v1.0.md","5838","","2026-04-12T19:44:58.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_GOVERNANCA\THRESHOLDS\CHANGELOGS\THRESHOLDS_CHANGELOG_system_default_v1.0.0_to_v1.1.0.md","1068","","2026-04-12T19:07:08.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_GOVERNANCA\THRESHOLDS\PROFILES\THRESHOLDS_PROFILE_system_default_v1.0.0.md","2065","","2026-04-12T19:07:08.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_GOVERNANCA\THRESHOLDS\PROFILES\THRESHOLDS_PROFILE_system_default_v1.1.0.md","2503","","2026-04-12T19:07:08.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_MASTER\EURU_AGENT_MAP.md","12221","","2026-04-15T07:32:25.6745884Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_MASTER\EURU_COMPLETE_SYSTEM_AUDIT_2026-04-15.md","48447","","2026-04-15T21:07:43.4699089Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_MASTER\EURU_CONSOLIDATION_ROADMAP.md","2264","","2026-04-25T10:08:03.4379520Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_MASTER\EURU_DOCUMENT_REGISTRY_OFFICIAL_v1.3.md","7441","","2026-04-11T10:08:48.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_MASTER\EURU_HANDOFF_PROMPT_MASTER_REGISTRY_OTHER_IA.md","1116","","2026-04-11T10:09:04.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_MASTER\EURU_MASTER_DOCUMENTO_OFFICIAL_v1.1.md","6535","","2026-04-11T10:09:04.0000000Z",""
"SOURCE_ONLY","_EURU_TOS_MAIN_BUILD\00_MASTER\EURU_MASTER_INDEX.md","1774","","2026-04-25T10:08:03.4687549Z",""
